GPU: NVIDIA GeForce RTX 3080 Ti
GPU memory: 12038.19 MB
Epoch 5550/100000 ||  loss: 8.670457464177161e-05 ||  loss_test: 0.0002692748967092484 || lr: [0.001]
**************************************************
Epoch 5600/100000 ||  loss: 0.0006219580536708236 ||  loss_test: 0.0009196667815558612 || lr: [0.001]
**************************************************
Epoch 5650/100000 ||  loss: 5.6607012083986774e-05 ||  loss_test: 0.0002379281067987904 || lr: [0.001]
**************************************************
Epoch 5700/100000 ||  loss: 0.001154285273514688 ||  loss_test: 0.001856821239925921 || lr: [0.001]
**************************************************
Epoch 5750/100000 ||  loss: 5.674177737091668e-05 ||  loss_test: 0.0002395603369222954 || lr: [0.001]
**************************************************
Epoch 5800/100000 ||  loss: 0.0008867414435371757 ||  loss_test: 0.0010233224602416158 || lr: [0.001]
**************************************************
Epoch 5850/100000 ||  loss: 5.135718311066739e-05 ||  loss_test: 0.00022883721976540983 || lr: [0.001]
**************************************************
Epoch 5900/100000 ||  loss: 0.00021898232807870954 ||  loss_test: 0.0003765056317206472 || lr: [0.001]
**************************************************
Epoch 5950/100000 ||  loss: 0.0004697828262578696 ||  loss_test: 0.0007284018793143332 || lr: [0.001]
**************************************************
Epoch 6000/100000 ||  loss: 5.461366527015343e-05 ||  loss_test: 0.0002272831043228507 || lr: [0.001]
**************************************************
Epoch 6050/100000 ||  loss: 0.00016908967518247664 ||  loss_test: 0.0003379183472134173 || lr: [0.001]
**************************************************
Epoch 6100/100000 ||  loss: 0.0005393241299316287 ||  loss_test: 0.0008811393636278808 || lr: [0.001]
**************************************************
Epoch 6150/100000 ||  loss: 6.06931971560698e-05 ||  loss_test: 0.0002330372080905363 || lr: [0.001]
**************************************************
Epoch 6200/100000 ||  loss: 6.631292490055785e-05 ||  loss_test: 0.00023408936976920813 || lr: [0.001]
**************************************************
Epoch 6250/100000 ||  loss: 0.0011522348504513502 ||  loss_test: 0.0010493454756215215 || lr: [0.001]
**************************************************
Epoch 6300/100000 ||  loss: 8.186155901057646e-05 ||  loss_test: 0.0002509156765881926 || lr: [0.001]
**************************************************
Epoch 6350/100000 ||  loss: 9.231174772139639e-05 ||  loss_test: 0.0002570919459685683 || lr: [0.001]
**************************************************
Epoch 6400/100000 ||  loss: 0.0001912957668537274 ||  loss_test: 0.00041932243038900197 || lr: [0.001]
**************************************************
Epoch 6450/100000 ||  loss: 5.341900759958662e-05 ||  loss_test: 0.00021464195742737502 || lr: [0.001]
**************************************************
Epoch 6500/100000 ||  loss: 0.0013786174822598696 ||  loss_test: 0.0013423667987808585 || lr: [0.001]
**************************************************
Epoch 6550/100000 ||  loss: 4.3519299651961774e-05 ||  loss_test: 0.00020542282436508685 || lr: [0.001]
**************************************************
Epoch 6600/100000 ||  loss: 0.00013017753371968865 ||  loss_test: 0.0002817553177010268 || lr: [0.001]
**************************************************
Epoch 6650/100000 ||  loss: 3.7785106542287394e-05 ||  loss_test: 0.0001963963295565918 || lr: [0.001]
**************************************************
Epoch 6700/100000 ||  loss: 0.00033799256198108196 ||  loss_test: 0.0005065167206339538 || lr: [0.001]
**************************************************
Epoch 6750/100000 ||  loss: 4.647210516850464e-05 ||  loss_test: 0.00020440139633137733 || lr: [0.001]
**************************************************
Epoch 6800/100000 ||  loss: 0.00016013532876968384 ||  loss_test: 0.0003021626325789839 || lr: [0.001]
**************************************************
Epoch 6850/100000 ||  loss: 4.6662222302984446e-05 ||  loss_test: 0.00020518775272648782 || lr: [0.001]
**************************************************
Epoch 6900/100000 ||  loss: 7.600765820825472e-05 ||  loss_test: 0.00022770764189772308 || lr: [0.001]
**************************************************
Epoch 6950/100000 ||  loss: 0.0003624361997935921 ||  loss_test: 0.0006630212883464992 || lr: [0.001]
**************************************************
Epoch 7000/100000 ||  loss: 4.9139434850076213e-05 ||  loss_test: 0.00020229820802342147 || lr: [0.001]
**************************************************
Epoch 7050/100000 ||  loss: 0.00016214734932873398 ||  loss_test: 0.00029781265766359866 || lr: [0.001]
**************************************************
Epoch 7100/100000 ||  loss: 0.00019905281078536063 ||  loss_test: 0.0004051817813888192 || lr: [0.001]
**************************************************
Epoch 7150/100000 ||  loss: 8.518868708051741e-05 ||  loss_test: 0.00024389955797232687 || lr: [0.001]
**************************************************
Epoch 7200/100000 ||  loss: 0.00017098401440307498 ||  loss_test: 0.0003183004155289382 || lr: [0.001]
**************************************************
Epoch 7250/100000 ||  loss: 8.118850382743403e-05 ||  loss_test: 0.00022307535982690752 || lr: [0.001]
**************************************************
Epoch 7300/100000 ||  loss: 0.00035219581332057714 ||  loss_test: 0.00038920866791158915 || lr: [0.001]
**************************************************
Epoch 7350/100000 ||  loss: 3.5055589250987396e-05 ||  loss_test: 0.00018108503718394786 || lr: [0.001]
**************************************************
Epoch 7400/100000 ||  loss: 0.0001782284234650433 ||  loss_test: 0.0002940433914773166 || lr: [0.001]
**************************************************
Epoch 7450/100000 ||  loss: 3.3560674637556076e-05 ||  loss_test: 0.00017759340698830783 || lr: [0.001]
**************************************************
Epoch 7500/100000 ||  loss: 0.0001256136893061921 ||  loss_test: 0.0002559825370553881 || lr: [0.001]
**************************************************
Epoch 7550/100000 ||  loss: 0.00027822560514323413 ||  loss_test: 0.0005086587625555694 || lr: [0.001]
**************************************************
Epoch 7600/100000 ||  loss: 8.217755384976044e-05 ||  loss_test: 0.00022608043218497187 || lr: [0.001]
**************************************************
Epoch 7650/100000 ||  loss: 5.4760970670031384e-05 ||  loss_test: 0.00019556001643650234 || lr: [0.001]
**************************************************
Epoch 7700/100000 ||  loss: 0.27208638191223145 ||  loss_test: 0.1278621256351471 || lr: [0.001]
**************************************************
Epoch 7750/100000 ||  loss: 0.02510286495089531 ||  loss_test: 0.024675259366631508 || lr: [0.001]
**************************************************
Epoch 7800/100000 ||  loss: 0.007816553115844727 ||  loss_test: 0.0087595758959651 || lr: [0.001]
**************************************************
Epoch 7850/100000 ||  loss: 0.0035841413773596287 ||  loss_test: 0.004685603082180023 || lr: [0.001]
**************************************************
Epoch 7900/100000 ||  loss: 0.002575468271970749 ||  loss_test: 0.003474901197478175 || lr: [0.001]
**************************************************
Epoch 7950/100000 ||  loss: 0.0015055368421599269 ||  loss_test: 0.002494917716830969 || lr: [0.001]
**************************************************
Epoch 8000/100000 ||  loss: 0.0011723684147000313 ||  loss_test: 0.0020788218826055527 || lr: [0.001]
**************************************************
Epoch 8050/100000 ||  loss: 0.0009200874483212829 ||  loss_test: 0.0017361217178404331 || lr: [0.001]
**************************************************
Epoch 8100/100000 ||  loss: 0.0008075377554632723 ||  loss_test: 0.0015578207094222307 || lr: [0.001]
**************************************************
Epoch 8150/100000 ||  loss: 0.0006509456434287131 ||  loss_test: 0.0013553572352975607 || lr: [0.001]
**************************************************
Epoch 8200/100000 ||  loss: 0.0005937713431194425 ||  loss_test: 0.0012831107014790177 || lr: [0.001]
**************************************************
Epoch 8250/100000 ||  loss: 0.0005159645224921405 ||  loss_test: 0.0011352752335369587 || lr: [0.001]
**************************************************
Epoch 8300/100000 ||  loss: 0.0004384219355415553 ||  loss_test: 0.0010283557930961251 || lr: [0.001]
**************************************************
Epoch 8350/100000 ||  loss: 0.0030040545389056206 ||  loss_test: 0.003168346593156457 || lr: [0.001]
**************************************************
Epoch 8400/100000 ||  loss: 0.0003622327640186995 ||  loss_test: 0.0009017399861477315 || lr: [0.001]
**************************************************
Epoch 8450/100000 ||  loss: 0.0003229815629310906 ||  loss_test: 0.0008351808064617217 || lr: [0.0007]
**************************************************
